"","Occupation","Category","WomenAverageAnnualSalary","MenAverageAnnualSalary","PayGap","PayGapAsAPercentage","Country","Currency","WomenAverageAnnualSalaryEUR","MenAverageAnnualSalaryEUR","salaryGapEUR"
"171","School crossing","care & education",2301,3219,918,0.399,"UK","UKP",2692.17,3766.23,1074.06
"172","Occupational therapy","care & education",26322,28419,2097,0.0797,"UK","UKP",30796.74,33250.23,2453.49
"173","Physiotherapists","care & education",26244,28793,2549,0.0971,"UK","UKP",30705.48,33687.81,2982.33
"174","Therapists","care & education",26226,29081,2855,0.1089,"UK","UKP",30684.42,34024.77,3340.35
"175","Podiatrists","care & education",27624,30559,2935,0.1062,"UK","UKP",32320.08,35754.03,3433.95
"176","Nurses","care & education",26291,31816,5525,0.2101,"UK","UKP",30760.47,37224.72,6464.25
"177","Nurses & midwives","care & education",26475,31841,5366,0.2027,"UK","UKP",30975.75,37253.97,6278.22
"178","Social workers","care & education",29898,32286,2388,0.0799,"UK","UKP",34980.66,37774.62,2793.96
"179","Further education","care & education",27121,32378,5257,0.1938,"UK","UKP",31731.57,37882.26,6150.69
"180","Primary education","care & education",29665,35127,5462,0.1841,"UK","UKP",34708.05,41098.59,6390.54
"181","Teaching & education","care & education",30307,36971,6664,0.2199,"UK","UKP",35459.19,43256.07,7796.88
"182","Secondary education","care & education",31683,37124,5441,0.1717,"UK","UKP",37069.11,43435.08,6365.96999999999
"183","Health professionals","care & education",27524,38199,10675,0.3878,"UK","UKP",32203.08,44692.83,12489.75
"184","Higher education","care & education",35728,44904,9176,0.2568,"UK","UKP",41801.76,52537.68,10735.92
"185","Education seniors","care & education",46138,55357,9219,0.1998,"UK","UKP",53981.46,64767.69,10786.23
"186","Medical practitioners","care & education",44955,78025,33070,0.7356,"UK","UKP",52597.35,91289.25,38691.9
"187","Creative & media","creative & media",26376,31580,5204,0.2119,"UK","UKP",30859.92,36948.6,6088.68
"188","Culture & media","creative & media",16093,24227,8134,0.5054,"UK","UKP",18828.81,28345.59,9516.78
"189","Graphic designers","creative & media",22227,25610,3383,0.1522,"UK","UKP",26005.59,29963.7,3958.11
"190","Arts & media","creative & media",22738,30197,7459,0.328,"UK","UKP",26603.46,35330.49,8727.03
"191","Designers","creative & media",25025,30506,5481,0.219,"UK","UKP",29279.25,35692.02,6412.77
"192","Arts producers","creative & media",32031,37920,5889,0.1839,"UK","UKP",37476.27,44366.4,6890.13
"193","Public relations","creative & media",25536,28820,3284,0.1286,"UK","UKP",29877.12,33719.4,3842.28
"194","Web design","creative & media",26180,28990,2810,0.1073,"UK","UKP",30630.6,33918.3,3287.7
"195","Media professionals","creative & media",28585,32236,3651,0.1277,"UK","UKP",33444.45,37716.12,4271.67
"196","Business & media","creative & media",31168,37212,6044,0.1939,"UK","UKP",36466.56,43538.04,7071.48
"197","Advertising","creative & media",34179,40084,5905,0.1728,"UK","UKP",39989.43,46898.28,6908.85
"198","Law & justice","law & justice",28875,31795,2920,0.1193,"UK","UKP",33783.75,37200.15,3416.39999999999
"199","Community police","law & justice",25500,26282,782,0.0307,"UK","UKP",29835,30749.94,914.939999999999
"200","Prison service","law & justice",22634,28486,5852,0.2585,"UK","UKP",26481.78,33328.62,6846.84
"201","Legal associate","law & justice",22645,31142,8497,0.3752,"UK","UKP",26494.65,36436.14,9941.49
"202","Protective services","law & justice",30464,34016,3552,0.1166,"UK","UKP",35642.88,39798.72,4155.84
"203","Police officers","law & justice",34715,40275,5560,0.1602,"UK","UKP",40616.55,47121.75,6505.2
"204","Senior police","law & justice",59871,57701,-2170,-0.0362,"UK","UKP",70049.07,67510.17,-2538.89999999999
"205","Probation officers","law & justice",29767,31777,2010,0.0675,"UK","UKP",34827.39,37179.09,2351.7
"206","Solicitors","law & justice",37734,42998,5264,0.1395,"UK","UKP",44148.78,50307.66,6158.88
"207","Traffic wardens","law & justice",20023,18630,-1393,-0.0696,"UK","UKP",23426.91,21797.1,-1629.81
"208","Security","law & justice",19426,20096,670,0.0345,"UK","UKP",22728.42,23512.32,783.900000000001
"209","Debt collectors","law & justice",14845,18338,3493,0.2353,"UK","UKP",17368.65,21455.46,4086.81
"210","Manual work","manual work",16513,22529,6015,0.3809,"UK","UKP",19320.21,26358.93,7038.72
"211","Packers","manual work",14343,17865,3522,0.2456,"UK","UKP",16781.31,20902.05,4120.74
"212","Agricultural","manual work",11925,18458,6533,0.5478,"UK","UKP",13952.25,21595.86,7643.61
"213","Plant operatives","manual work",14272,18894,4622,0.3239,"UK","UKP",16698.24,22105.98,5407.74
"214","Trades","manual work",14115,19061,4946,0.3504,"UK","UKP",16514.55,22301.37,5786.82
"215","Construction","manual work",18696,20442,1746,0.0934,"UK","UKP",21874.32,23917.14,2042.82
"216","Sewing machinists","manual work",13510,17689,4179,0.3093,"UK","UKP",15806.7,20696.13,4889.43
"217","Factory operatives","manual work",14526,18480,3954,0.2722,"UK","UKP",16995.42,21621.6,4626.18
"218","Process operatives","manual work",14688,20362,5674,0.3863,"UK","UKP",17184.96,23823.54,6638.58
"219","Metal working","manual work",16285,20943,4658,0.286,"UK","UKP",19053.45,24503.31,5449.86
"220","Electrical assembly","manual work",17144,21370,4226,0.2465,"UK","UKP",20058.48,25002.9,4944.42
"221","AS A WHOLE","manual work",15405,22698,7293,0.4734,"UK","UKP",18023.85,26556.66,8532.81
"222","Assemblers","manual work",15980,23391,7411,0.4638,"UK","UKP",18696.6,27367.47,8670.87
